23:55:40  |  Core  |  Info  |  FactoryManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  51
23:55:40  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  67
23:55:40  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  72
23:55:40  |  Core  |  Info  |  * Shutdown: WidgetManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  105
23:55:40  |  Core  |  Info  |  WidgetManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  114
23:55:40  |  Core  |  Info  |  Gui successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_Gui.cpp  |  193
23:55:40  |  Core  |  Info  |  * Shutdown: RenderManager  |  ..\..\..\..\MyGUI_3.2.0_RC1\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  70
23:55:40  |  Core  |  Info  |  RenderManager successfully shutdown  |  ..\..\..\..\MyGUI_3.2.0_RC1\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  78
23:55:40  |  Core  |  Info  |  * Shutdown: DataManager  |  ..\..\..\..\MyGUI_3.2.0_RC1\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  37
23:55:40  |  Core  |  Info  |  DataManager successfully shutdown  |  ..\..\..\..\MyGUI_3.2.0_RC1\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  39
